TieuDe,Gia,DienTich,GiaTrenM2,PhongNgu,WC,Quan,TinhThanh
"Nhà cấp 4 1sẹc Trần Thanh Mại 97m2 (5,3 x 18,2m) nở hậu 7,9m, 2PN, cách Tỉnh Lộ 10 200m. Giá 4,2 tỷ",4.2,97.3,43.16,2,1,Bình Tân,Hồ Chí Minh
"Hàng hiếm tại Phụng Pháp, Q. Ngô Quyền, HP, 68 triệu / m2, 72m2",4.9,72.0,68.0,6,6,Ngô Quyền,Hải Phòng
Nhà mặt tiền đường lớn 120m2 - ngay trung tâm chợ - sổ hồng riêng - được trả góp,,120.0,7.82,2,2,Bình Chánh,Hồ Chí Minh
"Bán Nhà Riêng KẾ Ngay KDC TÊN LỬA, THANG MÁY 450KG, 80m2, FULL NỘI THẤT CAO CẤP - ĐƯỜNG NHỰA 8M",8.0,80.0,100.0,5,6,Bình Tân,Hồ Chí Minh
"Bán nhà riêng tại Huỳnh Tấn Phát, Phú Thuận, Q7, TP.HCM, giá ưu đãi 7,2 tỷ, 57m2",7.2,57.0,126.32,5,5,Quận 7,Hồ Chí Minh
"Chính chủ cần bán gấp giảm sốc còn 7.3 tỷ nhà 45m2 x 3 tầng tại số nhà 9 ngõ 6 Hà Trì 1, Hà Đông",7.3,45.0,162.22,4,3,Hà Đông,Hà Nội
"Bán nhà 1 trệt 1 lầu đường Mậu Thân, TP. Cần Thơ, nội thất đầy đủ",3.45,64.9,53.16,2,2,Ninh Kiều,Cần Thơ
"Chính chủ bán nhà cấp 4, lô góc 2 mặt hẻm thông thoáng, thông ra đường Quốc Lộ 6 chỉ 200m",6.5,51.5,126.21,,,Hà Đông,Hà Nội
"Chính chủ bán gấp nhà phố Kim Mã, Ba Đình, Hà Nội 5 tầng full nội thất, sẵn sổ sang tên ngay",8.5,43.0,197.67,5,3,Ba Đình,Hà Nội
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",35.0,168.0,208.33,4,5,Quận 2,Hồ Chí Minh
Bán Căn Góc BT 10x18.5m KDC có bảo vệ trước vòng xoay Liên Phường cách Global City chỉ 1 km,18.0,172.5,104.35,5,5,Quận 9,Hồ Chí Minh
"Bán nhà riêng tại Đường 10, Quận 9, 7,6 tỷ VND, 103m2, uy tín chỉ với",7.6,103.0,73.79,2,2,Quận 9,Hồ Chí Minh
"Bán Nhà Đại La 34m, 4 T, 4 PN , Full nội thất sang trọng. KH MUA nhà trong T5/2025 Thưởng 1 VISION",7.5,34.0,220.59,4,4,Hai Bà Trưng,Hà Nội
"Bán tòa nhà CCMN góc 3 thoáng trung tâm Cầu Giấy hơn 20 trường đại học 16PN full, thang máy, ô tô",16.9,59.0,286.44,16,16,Cầu Giấy,Hà Nội
"Bán nhà 1 trệt lửng 1 lầu đường Cây Keo giá tốt, LH 0397 939 ***",5.8,52.0,111.54,3,3,Thủ Đức,Hồ Chí Minh
"Chính chủ bán nhà trong ngõ 72, Tôn Thất Tùng, Đống Đa, Hà Nội",11.5,57.9,198.62,2,2,Đống Đa,Hà Nội
"Bán nhà riêng tại Đường Giải Phóng, 28 tỷ, 103.5m2, giá siêu hời",28.0,103.5,270.53,2,2,Hoàng Mai,Hà Nội
"CHDV cao cấp ngay Nguyễn Gia Trí, cạnh Hutech, 5 tấm mới xây + thang máy 11 phòng, 13,6 tỷ TL",13.6,72.0,188.89,11,11,Bình Thạnh,Hồ Chí Minh
"Giảm xuống còn 8,08 tỷ, có kế hoạch nên muốn bán gấp, đất sổ đỏ 48.3m2 tặng nhà 2 tầng xây kiên cố",8.08,48.3,167.29,2,1,Thanh Trì,Hà Nội
"Chính chủ bán nhà 2 tầng ngõ 88 Giáp Nhị, Thịnh Liệt, Hoàng Mai sổ đỏ sẵn sàng giao dịch",11.3,88.5,127.68,,,Hoàng Mai,Hà Nội
Duy nhất 1 căn villa chính chủ lâu năm - lô góc hẻm xe hơi thông,10.5,112.5,93.33,5,4,Bình Thạnh,Hồ Chí Minh
"Bán 10 căn DT 30m, 32m, 36m, 38m, 42m2 từ 2,85tỷ, 3,35tỷ, 3,65tỷ 3,95ỷ, 4tỷ ôtô đỗ, gần BxYên Nghĩa",2.85,38.0,75.0,3,4,Hà Đông,Hà Nội
"Nguyễn Sơn DT 84m2, MT 6 m-7 tầng thang máy, -Thiết kế DUPLEX hiện đại, cực đẹp, tặng full nội thất",23.8,84.0,283.33,,,Long Biên,Hà Nội
"Bán nhà 7 tầng phố Đội Cấn, xây mới 2024, đầy đủ PCCC và GPXD, dòng tiền 70 triệu/ tháng, Full NT",16.19,59.0,274.41,11,11,Ba Đình,Hà Nội
"Do chuyển công tác cần bán nhà mặt ngõ, phố Tôn Đức Thắng-Đống Đa, gần ngay phố 60m2, nhỉnh 12 tỷ",12.8,60.0,213.33,4,4,Đống Đa,Hà Nội
"Hàng hiếm! Bán nhà riêng xây CCMN Giáp Nhất 80m² 8 tầng MT 7,52m, 22 phòng doanh thu 100tr/tháng",18.0,80.0,225.0,22,,Thanh Xuân,Hà Nội
Siêu phẩm Kim Giang - Thanh Liệt - ngõ thông - kinh doanh - ô tô - dân xây 50m2 x 3 tầng 1 tum,11.95,50.0,239.0,3,3,Thanh Trì,Hà Nội
PHÂN LÔ KIM NGƯU 61M2 4 TẦNG MT 5.2M Ô TÔ TRÁNH GẦN HỒ GƯƠM CHỈ 12 TỶ,12.0,62.0,193.55,5,,Hai Bà Trưng,Hà Nội
Bán Nhà HXH 5 tầng 8PN đường Nguyễn Văn Luông P12 Quận 6 giá còn 6.35 tỷ,6.35,55.0,115.46,8,8,Quận 6,Hồ Chí Minh
"Bán nhà phố Nguyễn Văn Cừ 102m2 4 tầng, mặt tiền 3.5m. Ô tô tránh vào nhà, ô tô tránh, giá tốt",16.5,102.0,161.76,5,2,Long Biên,Hà Nội
Bán nhà hẻm xe hơi thông Thoại Ngọc Hầu Tân Phú 4x17m 4 tầng giá 6.99 tỷ,6.99,66.0,105.91,3,3,Tân Phú,Hồ Chí Minh
"11.4 TỶ - 57M2 - Ô TÔ ĐỖ CỬA - KINH DOANH ĐỈNH - MINH KHAI, HAI BÀ TRƯNG",11.4,57.0,200.0,4,3,Hai Bà Trưng,Hà Nội
"Bán nhà 2 MT đường Cao Thắng, Q3 DT: 6x14m, giá: 18 tỷ TL, XD: Hầm 6 L",18.0,84.0,214.29,6,6,Quận 3,Hồ Chí Minh
KHƯƠNG ĐÌNH THANH XUÂN 40M2 NHÀ 7 TẦNG THANG MÁY MẶT TIỀN 8M Ô TÔ NGỦ TRONG NHÀ,12.6,40.0,315.0,3,4,Thanh Xuân,Hà Nội
"Bán nhà riêng view đẹp tại Lò Đúc, 13,5tỷ, 55m2, 6PN, 5WC, Q. Hai Bà Trưng, HN",13.5,55.0,245.46,6,6,Hai Bà Trưng,Hà Nội
"WOOAA RẺ NHẤT KHU BÁN GẤP NHÀ CẤP 4 CÒN MỚI 90% KHU TÁI ĐỊNH CƯ HỜN RỚ 2, ĐƯỜNG 13M ,SẴN SỔ HỒNG",3.26,80.0,40.75,2,1,Nha Trang,Khánh Hòa
"HÀNG HIẾM NGÕ VIP PHỐ THÁI HÀ-ĐỐNG ĐA - PHÂN LÔ 3 Ô TÔ TRÁNH - 7 TẦNG THANG MÁY- KD , VĂN PHÒNG.",29.5,51.0,578.43,5,7,Đống Đa,Hà Nội
"Tôi bán gấp nhà Phân lô, ô tô tránh Lô Góc vị trí trung tâm Tô Hiệu Hà Đông, 46m2, 4T, nhỉnh 11 tỷ.",11.0,46.0,239.13,,,Hà Đông,Hà Nội
Bán nhà / ĐS 9 gần đường Kênh Tham Lương phường Bình Hưng Hòa. Q. Bình Tân,4.95,60.0,82.5,3,2,Bình Tân,Hồ Chí Minh
"Hàng siêu hiếm 266h Trần Nguyên Hãn 79m2x4 tầng có hố chờ thang máy giá chỉ 10,5 tỷ. Ib 0983 996 ***",10.5,79.0,132.91,4,4,Lê Chân,Hải Phòng
PHÂN LÔ - OTO TRÁNH DỪNG ĐỖ - CÁCH PHỐ 50M - TIỆN LÀM VP - SAPA - NỘI THẤT XỊN SÒ,18.0,45.0,400.0,5,5,Đống Đa,Hà Nội
"Tôi chính chủ cần bán nhà đất mặt đường Thượng Phúc, Tả Thanh Oai",4.45,74.2,60.0,,,Thanh Trì,Hà Nội
Chính Chủ! Nhà Trệt- Lửng- Lầu Gần SVD Tp. Dĩ An. Gồm: 3PN-3WC. Sân xe hơi. DT: 84M2. Giá: 4.55 Tỷ,4.55,84.0,54.17,3,3,Dĩ An,Bình Dương
"Bán Nhà Trả Góp ngân hàng sổ riêng thổ cư 100% chính chủ gần cây xăng 75, TT 600tr Nhận nhà ở ngay",2.25,100.0,22.5,4,2,Biên Hòa,Đồng Nai
"Chính Chủ Bán Nhà Trệt- 2 Lầu KDC Phú Hồng Thịnh, Tp. Dĩ An. Gồm 3PN- 4WC. Sổ Hoàn Công.Giá: 4.8 Tỷ",4.8,64.5,74.42,3,4,Dĩ An,Bình Dương
"Cần bán nhà LK Nguyễn Trãi, view chung cư vỉa hè oto tránh kinh doanh, VP, DT 96m mt 5.5 nhỉnh 37tỷ",37.35,96.0,389.06,,,Thanh Xuân,Hà Nội
"HOT 62 Nguyên Hồng, Đống Đa, phân lô, đường ôtô tránh, m.tiền khủng 5.5, 70m chỉ 27.5 tỷ",27.5,70.0,392.86,,,Đống Đa,Hà Nội
"Siêu hot! Bán nhà 2 tầng 62,8m2 Ngọc Hiệp hẻm đường 23/10 Nha Trang giá chỉ 3tỷ2",3.2,62.8,50.96,2,2,Nha Trang,Khánh Hòa
"Chính chủ cần bán nhà Lương Văn Can, Q8, thích hợp kinh doanh, LH: 0909 659 ***",10.99,173.0,63.53,3,1,Quận 8,Hồ Chí Minh
"Bán nhà Thạch Bàn, 80m2 x 2 MT rộng x 7 tầng, thang máy, gara, ô tô tránh, nội thất nhập khẩu, KD",19.5,80.0,243.75,8,6,Long Biên,Hà Nội
"Hiếm, bán nhà Bình Thạnh 124m2. Ô tô 7c ngủ sân nhà. Chỉ 17,5 tỷ TL",17.5,124.0,141.13,7,7,Bình Thạnh,Hồ Chí Minh
"Gấp bán Vị Trí Đẹp giáp Q1 , P17, BT- Ngay Cầu Thị Nghè. Chỉ 6,25 tỷ",6.25,47.0,132.98,5,6,Bình Thạnh,Hồ Chí Minh
"Bán toà căn hộ dịch vụ, chung cư mini 6 tầng thang máy, phố Minh Khai quận Hai Bà Trưng giá cực tốt",15.9,67.0,237.31,12,13,Hai Bà Trưng,Hà Nội
Chính chủ cần bán 213.5m2 đất kèm toà nhà 5 tầng,86.0,213.5,402.81,9,9,Tây Hồ,Hà Nội
"Bán Nhà riêng view đẹp tại Đ.Số 359, P.Phước Long B, Q9, HCM, 13 VND, 137m2",13.0,137.0,94.89,4,5,Quận 9,Hồ Chí Minh
"CỰC PHẨM 5 TẦNG, Ô TÔ NGAY CỔNG FULL NỘI THẤT XỊN, HIỆN ĐẠI Ở LUÔN 279 PHỐ ĐỘI CẤN - HOÀNG HOA THÁM",10.8,40.0,270.0,4,4,Ba Đình,Hà Nội
"Bán Nhà Đường Láng, Ngõ ô Tô, 14,9 tỷ, 45 m2, Đống Đa, Hà Nội",14.9,45.0,331.11,,,Đống Đa,Hà Nội
"8,05 tỷ- 11,3 tỷmới 100% 6 tầng có thang máy cổng Vạn Phúc City đường 10m. Hiệp Bình Phước Thủ Đức.",8.05,80.0,100.62,6,7,Thủ Đức,Hồ Chí Minh
BÁN NHÀ NGÕ TRUNG PHỤNG - LÔ GÓC - 40m 4 TẦNG XÂY MỚI - NHỈNH 7 TỶ - SÂN ĐỂ XE RỘNG,7.5,40.0,187.5,4,3,Đống Đa,Hà Nội
"BÁN NHÀ 3 TẦNG CẠNH VIN Đan Phượng, Hà Nội - Cực hiếm",6.85,55.0,124.54,3,2,Đan Phượng,Hà Nội
"(cực hiếm) bán nhà Hoàng Cầu, 7 tầng thang máy, mt 6m, phân lô oto, giá 25 tỷ",25.0,60.0,416.67,,,Đống Đa,Hà Nội
"Chính chủ cần bán gấp nhà riêng hot tại Phường 9,Đà Lạt,136m2,6PN,7WC,1TRỆT,S.Thượng giá siêu hời",13.6,136.0,100.0,,,Đà Lạt,Lâm Đồng
Hàng hiếm! Diện tích rộng 55m2 cách ô tô đúng 20m. Nhà 4T mới Kim Chung Di Trạch giá chỉ 4.75 tỷ.,4.75,55.0,86.36,5,3,Hoài Đức,Hà Nội
Bán nhà phân lô phố Nguyễn Khả Trạc 33m 5 tầng cầu thang cuối. LH 0937 026 ***,7.7,33.0,233.33,,,Cầu Giấy,Hà Nội
"Nhà đẹp ô tô vào nhà, kinh doanh, thang máy, lô góc, diện tích rộng tại Phúc Đồng gần Aeon",13.3,62.0,214.52,4,5,Long Biên,Hà Nội
"Gara ÔTô Phân Lô Giá Đầu Tư Thông Số Vàng Nguyễn Khang Cầu Giấy 60m ,5 Tầng , MT 5m . Vị Trí Đẹp",23.5,60.0,391.67,6,4,Cầu Giấy,Hà Nội
HXH Nguyễn Chí Thanh Q10 (4.5 * 25m) 16.5 tỷ còn bớt lộc,16.5,112.0,147.32,,,Quận 10,Hồ Chí Minh
"GIÁ ĐẦU TƯ - MẶT NGÕ OTO PHỐ NGUYỄN AN NINH, CÁCH PHỐ 100M - NHÀ DÂN XÂY CÓ Ô CHỜ THANG MÁY",13.5,58.0,232.76,5,4,Hoàng Mai,Hà Nội
Nhà 4 tầng xây mới full nội thất có thiết kế chỉnh chu căn gốc 4x15m giá chỉ 6tỷ450,6.45,60.0,107.5,3,3,Quận 7,Hồ Chí Minh
"Bán nhà phân lô Trung Hòa, Cầu Giấy, ôtô tránh, vỉa hè, 68m2, 8 tầng nổi, 1 hầm, thang máy, MT 5.5m",30.9,68.0,454.41,9,9,Cầu Giấy,Hà Nội
"BÁN NHÀ ĐẸP VÂN NỘI, ĐÔNG ANH 52m² 3 TẦNG MỚI GIÁ CHỈ HƠN 4 TỶ",4.8,52.0,92.31,3,3,Đông Anh,Hà Nội
"Bán gấp CHDV ở Phường 13, Bình Thạnh, 27 tỷ, 162 m2 tại Phường 13, Bình Thạnh",27.0,162.0,166.67,30,30,Bình Thạnh,Hồ Chí Minh
"Ngõ ôtô tránh kinh doanh rộng 4,5m, ôtô trong nhà, Thái Hà thông Thái Thịnh 49m2, 6 tầng, 12.8 tỷ",12.8,49.0,261.22,10,5,Đống Đa,Hà Nội
"79 Nguyễn Chí Thanh, Ô tô đỗ cửa 32m2 xây 5 tầng lô góc hơn 8 tỷ, nhà mới, đối diện Siêu Thị VINCOM",8.8,32.0,275.0,,,Đống Đa,Hà Nội
"Bán toà CHDV Mỹ Đình, ô tô đỗ cửa, xây mới, 52m2*7T thang máy, PCCC chuẩn, DT 80 triệu/ th",10.8,52.0,207.69,12,12,Nam Từ Liêm,Hà Nội
"Cần bán nhà phố Quan Hoa - Cầu Giấy, 72m2, 4 tầng; 4 ngủ; nhà mới; Giá chỉ 13 tỷ, sổ đỏ giao ngay",13.5,72.0,187.5,4,3,Cầu Giấy,Hà Nội
Cực hiếm - nhà phố Hà Kế Tấn Quận Thanh Xuân - ô tô vào nhà - 5 tầng thang máy - 90m2 chỉ 16 tỷ,15.0,90.0,166.67,7,5,Thanh Xuân,Hà Nội
"Bán tòa CCMN 9 tầng Duy Tân 173m2, 49 phòng - giá 37.5 tỷ, dòng tiền 9.6% 300tr/th, gác lửng, góc",37.5,173.0,216.76,49,49,Cầu Giấy,Hà Nội
"Bán nhà 3 tầng lửng, kiệt ô tô đỗ, ngay trung tâm phố biển Mỹ An!",6.75,54.0,125.0,3,3,Ngũ Hành Sơn,Đà Nẵng
"Chính chủ bán 2 nhà 3 tầng + tum, độc lập, xây mới, tại Nghĩa Lại, Uy Nỗ, Đông Anh, Hà Nội",9.7,100.0,97.0,6,6,Đông Anh,Hà Nội
"Bán nhà phân lô sát mặt phố Ngụy Như Kon Tum giao Nguyễn Tuân - Thanh Xuân 55m2, 5T, 19,9 tỷ",19.9,55.0,361.82,,,Thanh Xuân,Hà Nội
"Bán gấp NR 55m2, 6PN, 5WC tại Võ Thị Sáu, Thanh Nhàn, Hai Bà Trưng, 15,9 tỷ",15.9,55.0,289.09,6,5,Hai Bà Trưng,Hà Nội
"Bán NR 55m2 tại Đầm Trấu, 21,5 tỷ, 4PN, 4WC siêu hot, Q.Hai Bà Trưng, HN",21.5,55.0,390.91,4,4,Hai Bà Trưng,Hà Nội
Bán nhà Lò Đúc 68m2 x 5 tầng x MT 5m - 12.8 tỷ - thang máy - nhà mới full nội thất sẵn ở,12.8,68.0,188.24,4,4,Hai Bà Trưng,Hà Nội
- Hẻm 8m thông giáp Tân Phú gần đường Thạch Lam dt 4mx17m 1 lầu giá 6 tỷ,6.0,64.0,93.75,,,Tân Phú,Hồ Chí Minh
"Bán nhà 1 trệt 1 lầu P Quang Vinh, TP Biên Hoà",2.55,44.0,57.96,2,2,Biên Hòa,Đồng Nai
"Giảm giá 5 tỷ! Bán gấp tòa nhà văn phòng Đào Duy Anh, HĐ thuê 100 triệu/tháng",36.5,121.0,301.65,,,Phú Nhuận,Hồ Chí Minh
"Bán nhà Nguyễn Đình Chính, P11, quận Phú Nhuận - 4 tầng 95.2m2 (7 x 15m) chỉ 15.49 tỷ (TL mạnh)",15.49,95.2,162.71,4,4,Phú Nhuận,Hồ Chí Minh
"Chính chủ cần bán nhà 4 tầng tại Minh Khai, Bắc Từ Liêm, Hà Nội",6.9,34.0,202.94,,,Bắc Từ Liêm,Hà Nội
Nhà tôi tự xây thiết kế đa năng vừa ở vừa kinh doanh 7tầng thang máy nhỉnh 20 tỷ,20.0,75.0,266.67,4,7,Đống Đa,Hà Nội
"Nhà phố Phạm Ngọc Thạch, phân lô, ô tô tránh, vỉ hè rộng kinh doanh, nhà đẹp, 2 mặt thoáng, 10,4 tỷ",10.4,38.0,273.68,4,3,Đống Đa,Hà Nội
"(Bình Thạnh) Hẻm ô tô Xô Viết Nghệ Tĩnh Phường 25. Gần ngã tư Hàng Xanh, sổ riêng, giá 4 tỷ 250",4.25,72.0,59.03,4,5,Bình Thạnh,Hồ Chí Minh
"Bán toà nhà 9 tầng diện tích 120m2 tại phố Hạ Hồi, Quận Hoàn Kiếm, giá 62 tỷ, có gara ô tô",62.0,120.0,516.67,10,12,Hoàn Kiếm,Hà Nội
"Bán căn hộ dịch vụ tại Huỳnh Tấn Phát Q7 giá 33 tỷ, 220m2 đất thiết kế 48 phòng, doanh thu 180tr/th",33.0,220.0,150.0,48,48,Quận 7,Hồ Chí Minh
"Bán nhà riêng 46m2, 9,3 tỷ, 4PN, 4WC tại Bùi Xương Trạch, Thanh Xuân, Hà Nội, Chính chủ uy tín",9.3,46.0,202.17,4,4,Thanh Xuân,Hà Nội
HOÀNG QUỐC VIỆT - Ô TÔ TRÁNH - DỪNG ĐỖ - KINH DOANH NGÀY ĐÊM - Ô CHỜ THANG MÁY - 60M 5T MT 4.8M.,22.5,60.0,375.0,5,4,Cầu Giấy,Hà Nội
Bán nhà riêng Vạn Phúc Hà Đông 40m2 x 5 tầng ô tô thang máy ngõ thông 2 thoáng giá chỉ hơn 10 tỷ,10.6,40.0,265.0,,,Hà Đông,Hà Nội
SIÊU PHẨM LONG BIÊN - LÕI NGỌC LÂM - LÔ GÓC - 10M RA MẶT PHỐ - TRUNG TÂM ẨM THỰC LONG BIÊN,7.9,40.0,197.5,3,4,Long Biên,Hà Nội
"Bán căn 36m2, 4 tầng, sổ đỏ chính chủ tại phố Giáp Nhị, Thịnh Liệt Hoàng Mai",6.8,36.0,188.89,4,5,Hoàng Mai,Hà Nội
Chính chủ cần bán khách sạn Hoà Phát quận Thủ Đức. 6 tầng 525m2. Giá thương lượng tốt,78.0,525.0,148.57,30,35,Thủ Đức,Hồ Chí Minh
Bán nhà riêng tại xã Trạm Hành,6.12,340.0,18.0,2,1,Đà Lạt,Lâm Đồng
"Bán đất Đức Giang, Ngô Gia Tự, 55m, 4,5m mặt tiền nhỉnh 9 tỷ. Đường ô tô vào nhà",8.9,55.0,161.82,1,1,Long Biên,Hà Nội
"Cần bán gấp nhà Nguyễn Chí Thanh, 2 ô tô trong nhà, tầm tiền khu vực ô tô hiếm đấy, xem ngay kẻo lỡ",17.5,45.0,388.89,8,6,Ba Đình,Hà Nội
"Bán Nhà Riêng đẹp tại Huyện Lộ 173, Xã Tường Đa, Châu Thành, Bến Tre, 6 tỷ, 1900m2",6.0,1.9,3.16,3,3,Châu Thành,Bến Tre
"Chỉ 390tr nhận ngay nhà 1 trệt 1 lửng đúc sân xe hơi Sổ Riêng Thổ Cư, Gần trường Cơ Giới Cơ Sở 2",1.55,100.0,15.5,3,2,Vĩnh Cửu,Đồng Nai
"Bán nhà mới 4 tầng ngay sau quận ủy Bắc Từ Liêm, oto đỗ cách nhà 30m,vị trí đẹp, thuận tiện đi lại",6.9,45.0,153.33,4,,Bắc Từ Liêm,Hà Nội
"Cần bán nhà 5 tầng HXH Lê Văn Sỹ thông Trường Sa, Quận 3 - Ngang 4.5m. Đang cho thuê 40 tr/tháng",13.3,76.0,175.0,10,11,Quận 3,Hồ Chí Minh
"CHÍNH CHỦ BÁN NHÀ PHÂN LÔ VỈA HÈ PHỐ NGUYÊN HỒNG - HUỲNH THÚC KHÁNG 66M2 - MT5,41 - 26 TỶ",26.0,66.0,393.94,,,Đống Đa,Hà Nội
Nhà Cấp 4 vị trí đẹp - Tiện xây mới - 262 Lũy Bán Bích - 55m2 (Ngang 5.5m) - Sổ Vuông,3.9,55.0,70.91,2,2,Tân Phú,Hồ Chí Minh
Siêu phẩm Nghĩa Đô Cầu Giấy. Phân lô ô tô. 50m2 x 6 tầng thang máy giá chào chỉ 11 tỷ hơn xíu,11.0,50.0,220.0,8,,Cầu Giấy,Hà Nội
"Bán nhà 1 trệt lầu sân đậu ô tô trong nhà đường Nơ Trang Long,P13,Quận Bình Thạnh,TP HCM",6.8,53.0,128.3,3,3,Bình Thạnh,Hồ Chí Minh
"Bán nhà HXH, Phường Linh Chiểu, Tp Thủ Đức, ngay Vincom - Võ Văn Ngân - 76m2 - Giá 5,68 tỷ TL)",5.68,76.0,74.74,3,3,Thủ Đức,Hồ Chí Minh
"Cần tiền bán gấp nhà riêng 4PN, 4WC, 56m2 tại Phạm Văn Bạch, p12, Gò Vấp, HCM, 7,5 tỷ",7.5,56.0,133.93,4,4,Gò Vấp,Hồ Chí Minh
"Bán nhà HXH 106/4 Ba Vân, P.14, DT: 5,1m x 13m, 3 tầng. Nhỉnh 8 tỷ bán nhanh",8.7,65.0,133.85,2,3,Tân Bình,Hồ Chí Minh
"Bán nhà đẹp ở liền, tặng nội thất .Hẻm 870 lạc long quân, 4x12m. 4 tầng chỉ 7tỷ8 thương lượng. Hh1%",7.8,48.0,162.5,,,Tân Bình,Hồ Chí Minh
CHÍNH CHỦ NHỜ BÁN CĂN DÒNG TIỀN KHỦNG PHỐ TRUNG PHỤNG 70m x 7 tầng THANG MÁY MT7m Chỉ nhỉnh 24 tỷ,24.68,70.0,352.57,20,20,Đống Đa,Hà Nội
"Nhà hẻm 154 Nguyễn Biểu, P,2,Q.5.Dt 3x14, Trệt,lửng, lầu. Giá 6,95 tỷ",6.95,42.0,165.48,,,Quận 5,Hồ Chí Minh
"BÁN NHÀ ĐƯỜNG 8M XE HƠI TRÁNH THÔNG - KO LỘ GIỚI - NẰM CẠNH AOEN - NGANG HIẾM HƠN 5m2, 2 TẦNG ,",5.3,62.0,85.48,2,2,Bình Tân,Hồ Chí Minh
"CHÍNH CHỦ BÁN CĂN NHÀ QUANG TRUNG - NGAY NGÃ 5 CHUỒNG CHÓ DIỆN TÍCH 73M2, GIÁ 7,5TỶ 0946,746,009",7.5,73.0,102.74,2,2,Gò Vấp,Hồ Chí Minh
"SỔ HỒNG RIÊNG - CÔNG CHỨNG NGAY - NHÀ ĐẸP CHỈ 1.5 TỶ ÂU CƠ, KHU VĂN HOÁ TÂN BÌNH",1.5,12.0,125.0,,,Tân Bình,Hồ Chí Minh
Chính chủ bán nhà đối diện Aeon Mail Long Biên!,8.5,39.0,217.95,3,4,Long Biên,Hà Nội
"Bán nhà Xã Đàn2,Đống Đa Hà Nội diện tích 54m2 x 5t . Giá 19tỷ",19.0,54.0,351.85,4,5,Đống Đa,Hà Nội
TRUNG TÂM CẦU GIẤY - NHÀ ĐẸP 5 TẦNG - NGÕ RỘNG 3M - 10M RA Ô TÔ - 50M RA MẶT PHỐ - SỔ ĐẸP - Ở SƯỚNG,8.6,30.0,286.67,3,4,Cầu Giấy,Hà Nội
"Hiếm! Chính chủ bán nhà trung tâm Tân Phú, dòng tiền hiện tại 8tr/tháng. LH ngay!",4.2,32.0,131.25,,,Tân Phú,Hồ Chí Minh
"Hoàng Ngân, Thanh Xuân, ngõ thông, ôtô vào tận cửa, tiện kinh doanh, SĐCC, 77m2,MT 6,6m, hơn 13 tỷ",13.8,77.0,179.22,,,Thanh Xuân,Hà Nội
"BÁN GẤP NHÀ ĐẸP Ở NGAY,SỐ VUÔNG ĐÉT,36M2,5 TẦNG NGÕ THÔNG ,PHÚ LÃM HÀ ĐÔNG, GIÁ 4,98 TỶ",4.98,40.0,124.5,3,4,Hà Đông,Hà Nội
"PHỐ CỔ LINH, P.THẠCH BÀN, chỉ với 10,3 tỷ 1 căn nhà 6 tầng, DT 50m2, MT 4.5m, 3PN full nội thất",10.3,50.0,206.0,3,4,Long Biên,Hà Nội
"Mặt ngõ oto tránh Hồng Hà DT 85m, 6 tầng,mt 3.6m Ba Đình, kinh doanh đỉnh.",28.5,85.0,335.29,6,4,Ba Đình,Hà Nội
"Chính chủ bán nhà Phố LIÊN TRÌ - HOÀN KIẾM - 120m ,9 tầng - Thang máy - Gara Ô tô - Giá 59 tỷ",59.0,119.0,495.8,15,15,Hoàn Kiếm,Hà Nội
"Bán nhà ngõ 77 Xuân La, Tây Hồ, 6 tầng 38m2 - Mỗi tầng 1 phòng, có thang máy, có nội thất, 8,x tỷ",8.6,38.0,226.32,4,5,Tây Hồ,Hà Nội
Bán nhà phố Thái Hà thông 2 tuyến phố - 10m ra ôtô tránh - 2 thoáng - dân xây siêu đẹp - 50m2 5tầng,8.0,50.0,160.0,3,3,Đống Đa,Hà Nội
"Bán nhà dân ở Phú Thượng - Tây Hồ - 45m2, 4 tầng - MT rộng - Cầu thang giữa - Gần phố",8.1,45.0,180.0,4,3,Tây Hồ,Hà Nội
"Nhà 2 tầng xinh xắn, dt: 3x7m Trần Xuân Soạn, Quận 7, giá 2,4 tỷ",2.4,22.0,109.09,2,2,Quận 7,Hồ Chí Minh
"Bán nhà Xuân La, Tây Hồ - Thang máy - ô tô - sát phố - lô góc - 35m2 x 6 Tầng, mt 4.2m. Nhỉnh 7 Tỷ",7.8,35.0,222.86,4,5,Tây Hồ,Hà Nội
"Bán nhà 2,95 tỷ DTSD 50m nhà 2 tầng, 566/72/45A Ng Thái Sơn, P5, Gò Vấp, TPHCM",2.95,25.0,118.0,2,2,Gò Vấp,Hồ Chí Minh
Bán nhà khu phân lô Giang Biên- Oto tránh- Có vỉa hè- Nhà đẹp ở luôn 60m2 4 tầng mt4.2m,15.5,60.0,258.33,,,Long Biên,Hà Nội
"Số 1 thị trường - Hẻm 8m Bạch Đằng, P24, BT - DT: 4x24m, vuông vức (4 tầng BTCT) Chỉ 15,5 tỷ TL",15.5,96.0,161.46,,,Bình Thạnh,Hồ Chí Minh
"Hơn 30 tỷ, bán gấp tòa căn hộ dòng tiền phố Hồ Tùng Mậu- bao quanh 11 trường ĐH- đầu tư hái ra tiền",34.5,100.0,345.0,26,27,Cầu Giấy,Hà Nội
