Tiêu đề,Giá,Diện tích,Giá/m²,Phòng ngủ,WC,Địa điểm
"Bán rẻ nhà cạnh VinHomes Tp. Thủ Đức, 102m2, sổ hồng, giá 2,9 tỷ","2,9 tỷ",102 m²,"28,43 tr/m²",4 Phòng ngủ,1 WC,"Quận 9, Hồ Chí Minh"
"Bán Nhà 5 Tầng dòng tiền cực tốt ngang 5m, 80m2 Vũ Tùng, Bình Thạnh, 45 triệu/th, giá chỉ 13,9 tỷ","13,9 tỷ",80 m²,"173,75 tr/m²",9 Phòng ngủ,,"Bình Thạnh, Hồ Chí Minh"
"Đẹp xỉu! PL 34 Nguyên Hồng, ô tô tránh, vỉa hè, sát phố, kinh doanh, VP, ở ngon 71m2 * 5T x 5.5m MT",28 tỷ,71 m²,"394,37 tr/m²",4 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
Căn nhà vườn sẵn hồ cá. Giá mềm nhũn,"2,1 tỷ",2.000 m²,"1,05 tr/m²",1 Phòng ngủ,1 WC,"Trảng Bom, Đồng Nai"
"Tạ Quang Bửu+thang máy+22P khép kín full NT-PCCC đạt chuẩn-doanh thu 150tr/th-DT 102m-MT 5,8m*24,7T","24,7 tỷ",100 m²,247 tr/m²,22 Phòng ngủ,22 WC,"Hai Bà Trưng, Hà Nội"
"BÁN NHÀ GÓC 2 MẶT TIỀN HẺM XE HƠI NGUYỄN VĂN ĐẬU, P11, BÌNH THẠNH GIÁ CHỈ 14.5 TỶ LH 0943 653 ***","14,5 tỷ",108 m²,"134,26 tr/m²",5 Phòng ngủ,7 WC,"Bình Thạnh, Hồ Chí Minh"
CHỈ HƠN 5 TỶ MUA NHÀ MỚI TINH HÀNG XÓM NGỌC LÂM PHỐ - FULL NỘI THẤT CAO CẤP - 6 TẦNG - OTO SÁT NHÀ,"5,95 tỷ",30 m²,"198,33 tr/m²",4 Phòng ngủ,5 WC,"Long Biên, Hà Nội"
"MỚI TINH! HỒ BA MẪU ĐỐNG ĐA, 7 TẦNG THANG MÁY, FULL NỘI THẤT, NGÕ THÔNG, KD,38M*7T*3,6M MT","8,5 tỷ",38 m²,"223,68 tr/m²",3 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
Siêu rẻ bán nhà phân lô Ngã Tư Sở vừa ở vừa làm VP 6 tầng thang máy 63m x 7t gara oto 7 chỗ 2 cái,"18,8 tỷ",63 m²,"298,41 tr/m²",7 Phòng ngủ,5 WC,"Thanh Xuân, Hà Nội"
"bán nhà mới xây dựng ,có tặng nội thất ,DT 50m2/5ty5 2 lầu 1 trệt, Nguyễn Thị Tí, sổ hồng riêng","5,4 tỷ",50 m²,108 tr/m²,4 Phòng ngủ,3 WC,"Bình Tân, Hồ Chí Minh"
"Biệt thự thiết kế tân cổ điển, full nội thất cao cấp xe hơi đổ trong nhà khu VIP Phạm Văn Hai","11,5 tỷ",63 m²,"182,54 tr/m²",4 Phòng ngủ,5 WC,"Tân Bình, Hồ Chí Minh"
"Bán CHDV tại Bình Trị Đông, Bình Tân, đầu tư một lần, thu lời dài hạn 8%/năm, 50 phòng, 38 tỷ",38 tỷ,350 m²,"108,57 tr/m²",50 Phòng ngủ,50 WC,"Bình Tân, Hồ Chí Minh"
Bán nhà riêng XVNT P26 Bình Thạnh Tp HCM. DT 68m2. DTSD 240m2,"12,2 tỷ",68 m²,"179,41 tr/m²",5 Phòng ngủ,6 WC,"Bình Thạnh, Hồ Chí Minh"
"Tôi cần bán gấp nhà mặt phố Lý Thường Kiệt, Trung tâm Q. Hà Đông 36m2, 9,9 tỷ. LH: 0944 223 ***","9,9 tỷ",36 m²,275 tr/m²,,,"Hà Đông, Hà Nội"
"Bán nhà phố Hồng Tiến, DT 40m2 * m tiền 4.65m * 6 tầng thang máy, sau 1 nhà ra mặt phố kinh doanh","8,95 tỷ",40 m²,"223,75 tr/m²",3 Phòng ngủ,5 WC,"Long Biên, Hà Nội"
"Tuyệt phẩm đẹp lung linh biệt thự mini 3 lầu, sân thượng, 4 phòng ngủ khu cao cấp Thích Quảng Đức","7,5 tỷ",40 m²,"187,5 tr/m²",4 Phòng ngủ,5 WC,"Phú Nhuận, Hồ Chí Minh"
"Bán nhà đẹp 1 trệt 2 lầu, hẻm nhựa 6m Ngô Chí Quốc, Bình Chiểu, Thủ Đức 72m2 giá tốt","5,5 tỷ",72 m²,"76,39 tr/m²",3 Phòng ngủ,4 WC,"Thủ Đức, Hồ Chí Minh"
"Bán gấp căn nhà Hoàng Cầu ô tô đỗ cửa full nội thất nhập khẩu , nhà 2 mặt ngõ 40m*5t vừa ở vừa KD","11,8 tỷ",40 m²,295 tr/m²,3 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
"Cần nhà đất 2 sổ riêng tại Thủ Dầu Một 1.066m2 có nhà lầu + nhà cấp 4, mặt tiền 18.5m, pháp lý ch","11,5 tỷ",1.066 m²,"10,79 tr/m²",6 Phòng ngủ,3 WC,"Thủ Dầu Một, Bình Dương"
"Bán nhà ngõ 68 Cầu Giấy 70m2, giá 12.99 tỷ dân xây chắc chắn 4 tầng 50m ra mặt phố","12,99 tỷ",70 m²,"185,57 tr/m²",4 Phòng ngủ,5 WC,"Cầu Giấy, Hà Nội"
"CHDV 180m2 7 tầng ngay Giải Phóng - mặt phố 35 căn hộ khép kín - PCCC xịn, thoát hiểm đầy đủ","36,5 tỷ",180 m²,"202,78 tr/m²",35 Phòng ngủ,35 WC,"Hoàng Mai, Hà Nội"
"Chính chủ cần bán biệt thự diện tích 736m2 tại Ao Đôi, Bình Trị Đông A, Bình Tân giá 55 tỷ",55 tỷ,736 m²,"74,73 tr/m²",5 Phòng ngủ,4 WC,"Bình Tân, Hồ Chí Minh"
"Chính chủ cần bán nhà riêng mới xây 6 tầng DT 52,5m2 full nội thất ở Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội","12,8 tỷ","52,5 m²","243,81 tr/m²",6 Phòng ngủ,,"Bắc Từ Liêm, Hà Nội"
"Hot.Nhà Góc 2 Mặt tiền, Hàng hiếm Ngang 9 m, dài 22 m Quận Phú Nhuận,Diện tích 192,9m2, 30 tỷ",30 tỷ,200 m²,150 tr/m²,4 Phòng ngủ,3 WC,"Phú Nhuận, Hồ Chí Minh"
"Nhà chính chủ bán gấp - 25/5 Nguyễn Hậu, P. Tân Thành, Q. Tân Phú, HCM, 8mx14m (4 lầu), giá 17,6 tỷ","17,6 tỷ",112 m²,"157,14 tr/m²",6 Phòng ngủ,6 WC,"Tân Phú, Hồ Chí Minh"
Bán nhà riêng dân xây 80m2 khu vực vip trung tâm Cầu Giấy,15 tỷ,80 m²,"187,5 tr/m²",4 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Nhà cấp 4 1sẹc Trần Thanh Mại 97m2 (5,3 x 18,2m) nở hậu 7,9m, 2PN, cách Tỉnh Lộ 10 200m. Giá 4,2 tỷ","4,2 tỷ","97,3 m²","43,16 tr/m²",2 Phòng ngủ,1 WC,"Bình Tân, Hồ Chí Minh"
"Hàng hiếm tại Phụng Pháp, Q. Ngô Quyền, HP, 68 triệu / m2, 72m2","4,9 tỷ",72 m²,68 tr/m²,6 Phòng ngủ,6 WC,"Ngô Quyền, Hải Phòng"
Nhà mặt tiền đường lớn 120m2 - ngay trung tâm chợ - sổ hồng riêng - được trả góp,939 triệu,120 m²,"7,82 tr/m²",2 Phòng ngủ,2 WC,"Bình Chánh, Hồ Chí Minh"
"Bán Nhà Riêng KẾ Ngay KDC TÊN LỬA, THANG MÁY 450KG, 80m2, FULL NỘI THẤT CAO CẤP - ĐƯỜNG NHỰA 8M",8 tỷ,80 m²,100 tr/m²,5 Phòng ngủ,6 WC,"Bình Tân, Hồ Chí Minh"
"Bán nhà riêng tại Huỳnh Tấn Phát, Phú Thuận, Q7, TP.HCM, giá ưu đãi 7,2 tỷ, 57m2","7,2 tỷ",57 m²,"126,32 tr/m²",5 Phòng ngủ,5 WC,"Quận 7, Hồ Chí Minh"
"Chính chủ cần bán gấp giảm sốc còn 7.3 tỷ nhà 45m2 x 3 tầng tại số nhà 9 ngõ 6 Hà Trì 1, Hà Đông","7,3 tỷ",45 m²,"162,22 tr/m²",4 Phòng ngủ,3 WC,"Hà Đông, Hà Nội"
"Bán nhà 1 trệt 1 lầu đường Mậu Thân, TP. Cần Thơ, nội thất đầy đủ","3,45 tỷ","64,9 m²","53,16 tr/m²",2 Phòng ngủ,2 WC,"Ninh Kiều, Cần Thơ"
"Chính chủ bán nhà cấp 4, lô góc 2 mặt hẻm thông thoáng, thông ra đường Quốc Lộ 6 chỉ 200m","6,5 tỷ","51,5 m²","126,21 tr/m²",,,"Hà Đông, Hà Nội"
"Chính chủ bán gấp nhà phố Kim Mã, Ba Đình, Hà Nội 5 tầng full nội thất, sẵn sổ sang tên ngay","8,5 tỷ",43 m²,"197,67 tr/m²",5 Phòng ngủ,3 WC,"Ba Đình, Hà Nội"
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",35 tỷ,168 m²,"208,33 tr/m²",4 Phòng ngủ,5 WC,"Quận 2, Hồ Chí Minh"
Bán Căn Góc BT 10x18.5m KDC có bảo vệ trước vòng xoay Liên Phường cách Global City chỉ 1 km,18 tỷ,"172,5 m²","104,35 tr/m²",5 Phòng ngủ,5 WC,"Quận 9, Hồ Chí Minh"
"Bán nhà riêng tại Đường 10, Quận 9, 7,6 tỷ VND, 103m2, uy tín chỉ với","7,6 tỷ",103 m²,"73,79 tr/m²",2 Phòng ngủ,2 WC,"Quận 9, Hồ Chí Minh"
"Bán Nhà Đại La 34m, 4 T, 4 PN , Full nội thất sang trọng. KH MUA nhà trong T5/2025 Thưởng 1 VISION","7,5 tỷ",34 m²,"220,59 tr/m²",4 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
"Bán tòa nhà CCMN góc 3 thoáng trung tâm Cầu Giấy hơn 20 trường đại học 16PN full, thang máy, ô tô","16,9 tỷ",59 m²,"286,44 tr/m²",16 Phòng ngủ,16 WC,"Cầu Giấy, Hà Nội"
"Bán nhà 1 trệt lửng 1 lầu đường Cây Keo giá tốt, LH 0397 939 ***","5,8 tỷ",52 m²,"111,54 tr/m²",3 Phòng ngủ,3 WC,"Thủ Đức, Hồ Chí Minh"
"Chính chủ bán nhà trong ngõ 72, Tôn Thất Tùng, Đống Đa, Hà Nội","11,5 tỷ","57,9 m²","198,62 tr/m²",2 Phòng ngủ,2 WC,"Đống Đa, Hà Nội"
"Bán nhà riêng tại Đường Giải Phóng, 28 tỷ, 103.5m2, giá siêu hời",28 tỷ,"103,5 m²","270,53 tr/m²",2 Phòng ngủ,2 WC,"Hoàng Mai, Hà Nội"
"CHDV cao cấp ngay Nguyễn Gia Trí, cạnh Hutech, 5 tấm mới xây + thang máy 11 phòng, 13,6 tỷ TL","13,6 tỷ",72 m²,"188,89 tr/m²",11 Phòng ngủ,11 WC,"Bình Thạnh, Hồ Chí Minh"
"Giảm xuống còn 8,08 tỷ, có kế hoạch nên muốn bán gấp, đất sổ đỏ 48.3m2 tặng nhà 2 tầng xây kiên cố","8,08 tỷ","48,3 m²","167,29 tr/m²",2 Phòng ngủ,1 WC,"Thanh Trì, Hà Nội"
"Chính chủ bán nhà 2 tầng ngõ 88 Giáp Nhị, Thịnh Liệt, Hoàng Mai sổ đỏ sẵn sàng giao dịch","11,3 tỷ","88,5 m²","127,68 tr/m²",,,"Hoàng Mai, Hà Nội"
Duy nhất 1 căn villa chính chủ lâu năm - lô góc hẻm xe hơi thông,"10,5 tỷ","112,5 m²","93,33 tr/m²",5 Phòng ngủ,4 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán 10 căn DT 30m, 32m, 36m, 38m, 42m2 từ 2,85tỷ, 3,35tỷ, 3,65tỷ 3,95ỷ, 4tỷ ôtô đỗ, gần BxYên Nghĩa","2,85 tỷ",38 m²,75 tr/m²,3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"Nguyễn Sơn DT 84m2, MT 6 m-7 tầng thang máy, -Thiết kế DUPLEX hiện đại, cực đẹp, tặng full nội thất","23,8 tỷ",84 m²,"283,33 tr/m²",,,"Long Biên, Hà Nội"
"Bán nhà 7 tầng phố Đội Cấn, xây mới 2024, đầy đủ PCCC và GPXD, dòng tiền 70 triệu/ tháng, Full NT","16,19 tỷ",59 m²,"274,41 tr/m²",11 Phòng ngủ,11 WC,"Ba Đình, Hà Nội"
"Do chuyển công tác cần bán nhà mặt ngõ, phố Tôn Đức Thắng-Đống Đa, gần ngay phố 60m2, nhỉnh 12 tỷ","12,8 tỷ",60 m²,"213,33 tr/m²",4 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
"Hàng hiếm! Bán nhà riêng xây CCMN Giáp Nhất 80m² 8 tầng MT 7,52m, 22 phòng doanh thu 100tr/tháng",18 tỷ,80 m²,225 tr/m²,22 Phòng ngủ,,"Thanh Xuân, Hà Nội"
Siêu phẩm Kim Giang - Thanh Liệt - ngõ thông - kinh doanh - ô tô - dân xây 50m2 x 3 tầng 1 tum,"11,95 tỷ",50 m²,239 tr/m²,3 Phòng ngủ,3 WC,"Thanh Trì, Hà Nội"
PHÂN LÔ KIM NGƯU 61M2 4 TẦNG MT 5.2M Ô TÔ TRÁNH GẦN HỒ GƯƠM CHỈ 12 TỶ,12 tỷ,62 m²,"193,55 tr/m²",5 Phòng ngủ,,"Hai Bà Trưng, Hà Nội"
Bán Nhà HXH 5 tầng 8PN đường Nguyễn Văn Luông P12 Quận 6 giá còn 6.35 tỷ,"6,35 tỷ",55 m²,"115,46 tr/m²",8 Phòng ngủ,8 WC,"Quận 6, Hồ Chí Minh"
"Bán nhà phố Nguyễn Văn Cừ 102m2 4 tầng, mặt tiền 3.5m. Ô tô tránh vào nhà, ô tô tránh, giá tốt","16,5 tỷ",102 m²,"161,76 tr/m²",5 Phòng ngủ,2 WC,"Long Biên, Hà Nội"
Bán nhà hẻm xe hơi thông Thoại Ngọc Hầu Tân Phú 4x17m 4 tầng giá 6.99 tỷ,"6,99 tỷ",66 m²,"105,91 tr/m²",3 Phòng ngủ,3 WC,"Tân Phú, Hồ Chí Minh"
"11.4 TỶ - 57M2 - Ô TÔ ĐỖ CỬA - KINH DOANH ĐỈNH - MINH KHAI, HAI BÀ TRƯNG","11,4 tỷ",57 m²,200 tr/m²,4 Phòng ngủ,3 WC,"Hai Bà Trưng, Hà Nội"
"Bán nhà 2 MT đường Cao Thắng, Q3 DT: 6x14m, giá: 18 tỷ TL, XD: Hầm 6 L",18 tỷ,84 m²,"214,29 tr/m²",6 Phòng ngủ,6 WC,"Quận 3, Hồ Chí Minh"
KHƯƠNG ĐÌNH THANH XUÂN 40M2 NHÀ 7 TẦNG THANG MÁY MẶT TIỀN 8M Ô TÔ NGỦ TRONG NHÀ,"12,6 tỷ",40 m²,315 tr/m²,3 Phòng ngủ,4 WC,"Thanh Xuân, Hà Nội"
"Bán nhà riêng view đẹp tại Lò Đúc, 13,5tỷ, 55m2, 6PN, 5WC, Q. Hai Bà Trưng, HN","13,5 tỷ",55 m²,"245,46 tr/m²",6 Phòng ngủ,6 WC,"Hai Bà Trưng, Hà Nội"
"WOOAA RẺ NHẤT KHU BÁN GẤP NHÀ CẤP 4 CÒN MỚI 90% KHU TÁI ĐỊNH CƯ HỜN RỚ 2, ĐƯỜNG 13M ,SẴN SỔ HỒNG","3,26 tỷ",80 m²,"40,75 tr/m²",2 Phòng ngủ,1 WC,"Nha Trang, Khánh Hòa"
"HÀNG HIẾM NGÕ VIP PHỐ THÁI HÀ-ĐỐNG ĐA - PHÂN LÔ 3 Ô TÔ TRÁNH - 7 TẦNG THANG MÁY- KD , VĂN PHÒNG.","29,5 tỷ",51 m²,"578,43 tr/m²",5 Phòng ngủ,7 WC,"Đống Đa, Hà Nội"
"Tôi bán gấp nhà Phân lô, ô tô tránh Lô Góc vị trí trung tâm Tô Hiệu Hà Đông, 46m2, 4T, nhỉnh 11 tỷ.",11 tỷ,46 m²,"239,13 tr/m²",,,"Hà Đông, Hà Nội"
Bán nhà / ĐS 9 gần đường Kênh Tham Lương phường Bình Hưng Hòa. Q. Bình Tân,"4,95 tỷ",60 m²,"82,5 tr/m²",3 Phòng ngủ,2 WC,"Bình Tân, Hồ Chí Minh"
"Hàng siêu hiếm 266h Trần Nguyên Hãn 79m2x4 tầng có hố chờ thang máy giá chỉ 10,5 tỷ. Ib 0983 996 ***","10,5 tỷ",79 m²,"132,91 tr/m²",4 Phòng ngủ,4 WC,"Lê Chân, Hải Phòng"
PHÂN LÔ - OTO TRÁNH DỪNG ĐỖ - CÁCH PHỐ 50M - TIỆN LÀM VP - SAPA - NỘI THẤT XỊN SÒ,18 tỷ,45 m²,400 tr/m²,5 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
"Tôi chính chủ cần bán nhà đất mặt đường Thượng Phúc, Tả Thanh Oai","4,45 tỷ","74,2 m²",60 tr/m²,,,"Thanh Trì, Hà Nội"
Chính Chủ! Nhà Trệt- Lửng- Lầu Gần SVD Tp. Dĩ An. Gồm: 3PN-3WC. Sân xe hơi. DT: 84M2. Giá: 4.55 Tỷ,"4,55 tỷ",84 m²,"54,17 tr/m²",3 Phòng ngủ,3 WC,"Dĩ An, Bình Dương"
"Bán Nhà Trả Góp ngân hàng sổ riêng thổ cư 100% chính chủ gần cây xăng 75, TT 600tr Nhận nhà ở ngay","2,25 tỷ",100 m²,"22,5 tr/m²",4 Phòng ngủ,2 WC,"Biên Hòa, Đồng Nai"
"Chính Chủ Bán Nhà Trệt- 2 Lầu KDC Phú Hồng Thịnh, Tp. Dĩ An. Gồm 3PN- 4WC. Sổ Hoàn Công.Giá: 4.8 Tỷ","4,8 tỷ","64,5 m²","74,42 tr/m²",3 Phòng ngủ,4 WC,"Dĩ An, Bình Dương"
"Cần bán nhà LK Nguyễn Trãi, view chung cư vỉa hè oto tránh kinh doanh, VP, DT 96m mt 5.5 nhỉnh 37tỷ","37,35 tỷ",96 m²,"389,06 tr/m²",,,"Thanh Xuân, Hà Nội"
"HOT 62 Nguyên Hồng, Đống Đa, phân lô, đường ôtô tránh, m.tiền khủng 5.5, 70m chỉ 27.5 tỷ","27,5 tỷ",70 m²,"392,86 tr/m²",,,"Đống Đa, Hà Nội"
"Siêu hot! Bán nhà 2 tầng 62,8m2 Ngọc Hiệp hẻm đường 23/10 Nha Trang giá chỉ 3tỷ2","3,2 tỷ","62,8 m²","50,96 tr/m²",2 Phòng ngủ,2 WC,"Nha Trang, Khánh Hòa"
"Chính chủ cần bán nhà Lương Văn Can, Q8, thích hợp kinh doanh, LH: 0909 659 ***","10,99 tỷ",173 m²,"63,53 tr/m²",3 Phòng ngủ,1 WC,"Quận 8, Hồ Chí Minh"
"Bán nhà Thạch Bàn, 80m2 x 2 MT rộng x 7 tầng, thang máy, gara, ô tô tránh, nội thất nhập khẩu, KD","19,5 tỷ",80 m²,"243,75 tr/m²",8 Phòng ngủ,6 WC,"Long Biên, Hà Nội"
"Hiếm, bán nhà Bình Thạnh 124m2. Ô tô 7c ngủ sân nhà. Chỉ 17,5 tỷ TL","17,5 tỷ",124 m²,"141,13 tr/m²",7 Phòng ngủ,7 WC,"Bình Thạnh, Hồ Chí Minh"
"Gấp bán Vị Trí Đẹp giáp Q1 , P17, BT- Ngay Cầu Thị Nghè. Chỉ 6,25 tỷ","6,25 tỷ",47 m²,"132,98 tr/m²",5 Phòng ngủ,6 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán toà căn hộ dịch vụ, chung cư mini 6 tầng thang máy, phố Minh Khai quận Hai Bà Trưng giá cực tốt","15,9 tỷ",67 m²,"237,31 tr/m²",12 Phòng ngủ,13 WC,"Hai Bà Trưng, Hà Nội"
Chính chủ cần bán 213.5m2 đất kèm toà nhà 5 tầng,86 tỷ,"213,5 m²","402,81 tr/m²",9 Phòng ngủ,9 WC,"Tây Hồ, Hà Nội"
"Bán Nhà riêng view đẹp tại Đ.Số 359, P.Phước Long B, Q9, HCM, 13 VND, 137m2",13 tỷ,137 m²,"94,89 tr/m²",4 Phòng ngủ,5 WC,"Quận 9, Hồ Chí Minh"
"CỰC PHẨM 5 TẦNG, Ô TÔ NGAY CỔNG FULL NỘI THẤT XỊN, HIỆN ĐẠI Ở LUÔN 279 PHỐ ĐỘI CẤN - HOÀNG HOA THÁM","10,8 tỷ",40 m²,270 tr/m²,4 Phòng ngủ,4 WC,"Ba Đình, Hà Nội"
"Bán Nhà Đường Láng, Ngõ ô Tô, 14,9 tỷ, 45 m2, Đống Đa, Hà Nội","14,9 tỷ",45 m²,"331,11 tr/m²",,,"Đống Đa, Hà Nội"
"8,05 tỷ- 11,3 tỷmới 100% 6 tầng có thang máy cổng Vạn Phúc City đường 10m. Hiệp Bình Phước Thủ Đức.","8,05 tỷ",80 m²,"100,62 tr/m²",6 Phòng ngủ,7 WC,"Thủ Đức, Hồ Chí Minh"
BÁN NHÀ NGÕ TRUNG PHỤNG - LÔ GÓC - 40m 4 TẦNG XÂY MỚI - NHỈNH 7 TỶ - SÂN ĐỂ XE RỘNG,"7,5 tỷ",40 m²,"187,5 tr/m²",4 Phòng ngủ,3 WC,"Đống Đa, Hà Nội"
"BÁN NHÀ 3 TẦNG CẠNH VIN Đan Phượng, Hà Nội - Cực hiếm","6,85 tỷ",55 m²,"124,54 tr/m²",3 Phòng ngủ,2 WC,"Đan Phượng, Hà Nội"
"(cực hiếm) bán nhà Hoàng Cầu, 7 tầng thang máy, mt 6m, phân lô oto, giá 25 tỷ",25 tỷ,60 m²,"416,67 tr/m²",,,"Đống Đa, Hà Nội"
"Chính chủ cần bán gấp nhà riêng hot tại Phường 9,Đà Lạt,136m2,6PN,7WC,1TRỆT,S.Thượng giá siêu hời","13,6 tỷ",136 m²,100 tr/m²,,,"Đà Lạt, Lâm Đồng"
Hàng hiếm! Diện tích rộng 55m2 cách ô tô đúng 20m. Nhà 4T mới Kim Chung Di Trạch giá chỉ 4.75 tỷ.,"4,75 tỷ",55 m²,"86,36 tr/m²",5 Phòng ngủ,3 WC,"Hoài Đức, Hà Nội"
Bán nhà phân lô phố Nguyễn Khả Trạc 33m 5 tầng cầu thang cuối. LH 0937 026 ***,"7,7 tỷ",33 m²,"233,33 tr/m²",,,"Cầu Giấy, Hà Nội"
"Nhà đẹp ô tô vào nhà, kinh doanh, thang máy, lô góc, diện tích rộng tại Phúc Đồng gần Aeon","13,3 tỷ",62 m²,"214,52 tr/m²",4 Phòng ngủ,5 WC,"Long Biên, Hà Nội"
"Gara ÔTô Phân Lô Giá Đầu Tư Thông Số Vàng Nguyễn Khang Cầu Giấy 60m ,5 Tầng , MT 5m . Vị Trí Đẹp","23,5 tỷ",60 m²,"391,67 tr/m²",6 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
HXH Nguyễn Chí Thanh Q10 (4.5 * 25m) 16.5 tỷ còn bớt lộc,"16,5 tỷ",112 m²,"147,32 tr/m²",,,"Quận 10, Hồ Chí Minh"
"GIÁ ĐẦU TƯ - MẶT NGÕ OTO PHỐ NGUYỄN AN NINH, CÁCH PHỐ 100M - NHÀ DÂN XÂY CÓ Ô CHỜ THANG MÁY","13,5 tỷ",58 m²,"232,76 tr/m²",5 Phòng ngủ,4 WC,"Hoàng Mai, Hà Nội"
Nhà 4 tầng xây mới full nội thất có thiết kế chỉnh chu căn gốc 4x15m giá chỉ 6tỷ450,"6,45 tỷ",60 m²,"107,5 tr/m²",3 Phòng ngủ,3 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà phân lô Trung Hòa, Cầu Giấy, ôtô tránh, vỉa hè, 68m2, 8 tầng nổi, 1 hầm, thang máy, MT 5.5m","30,9 tỷ",68 m²,"454,41 tr/m²",9 Phòng ngủ,9 WC,"Cầu Giấy, Hà Nội"
"BÁN NHÀ ĐẸP VÂN NỘI, ĐÔNG ANH 52m² 3 TẦNG MỚI GIÁ CHỈ HƠN 4 TỶ","4,8 tỷ",52 m²,"92,31 tr/m²",3 Phòng ngủ,3 WC,"Đông Anh, Hà Nội"
"Bán gấp CHDV ở Phường 13, Bình Thạnh, 27 tỷ, 162 m2 tại Phường 13, Bình Thạnh",27 tỷ,162 m²,"166,67 tr/m²",30 Phòng ngủ,30 WC,"Bình Thạnh, Hồ Chí Minh"
"Ngõ ôtô tránh kinh doanh rộng 4,5m, ôtô trong nhà, Thái Hà thông Thái Thịnh 49m2, 6 tầng, 12.8 tỷ","12,8 tỷ",49 m²,"261,22 tr/m²",10 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
"79 Nguyễn Chí Thanh, Ô tô đỗ cửa 32m2 xây 5 tầng lô góc hơn 8 tỷ, nhà mới, đối diện Siêu Thị VINCOM","8,8 tỷ",32 m²,275 tr/m²,,,"Đống Đa, Hà Nội"
"Bán toà CHDV Mỹ Đình, ô tô đỗ cửa, xây mới, 52m2*7T thang máy, PCCC chuẩn, DT 80 triệu/ th","10,8 tỷ",52 m²,"207,69 tr/m²",12 Phòng ngủ,12 WC,"Nam Từ Liêm, Hà Nội"
"Cần bán nhà phố Quan Hoa - Cầu Giấy, 72m2, 4 tầng; 4 ngủ; nhà mới; Giá chỉ 13 tỷ, sổ đỏ giao ngay","13,5 tỷ",72 m²,"187,5 tr/m²",4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
Cực hiếm - nhà phố Hà Kế Tấn Quận Thanh Xuân - ô tô vào nhà - 5 tầng thang máy - 90m2 chỉ 16 tỷ,15 tỷ,90 m²,"166,67 tr/m²",7 Phòng ngủ,5 WC,"Thanh Xuân, Hà Nội"
"Bán tòa CCMN 9 tầng Duy Tân 173m2, 49 phòng - giá 37.5 tỷ, dòng tiền 9.6% 300tr/th, gác lửng, góc","37,5 tỷ",173 m²,"216,76 tr/m²",49 Phòng ngủ,49 WC,"Cầu Giấy, Hà Nội"
"Bán nhà 3 tầng lửng, kiệt ô tô đỗ, ngay trung tâm phố biển Mỹ An!","6,75 tỷ",54 m²,125 tr/m²,3 Phòng ngủ,3 WC,"Ngũ Hành Sơn, Đà Nẵng"
"Chính chủ bán 2 nhà 3 tầng + tum, độc lập, xây mới, tại Nghĩa Lại, Uy Nỗ, Đông Anh, Hà Nội","9,7 tỷ",100 m²,97 tr/m²,6 Phòng ngủ,6 WC,"Đông Anh, Hà Nội"
"Bán nhà phân lô sát mặt phố Ngụy Như Kon Tum giao Nguyễn Tuân - Thanh Xuân 55m2, 5T, 19,9 tỷ","19,9 tỷ",55 m²,"361,82 tr/m²",,,"Thanh Xuân, Hà Nội"
"Bán gấp NR 55m2, 6PN, 5WC tại Võ Thị Sáu, Thanh Nhàn, Hai Bà Trưng, 15,9 tỷ","15,9 tỷ",55 m²,"289,09 tr/m²",6 Phòng ngủ,5 WC,"Hai Bà Trưng, Hà Nội"
"Bán NR 55m2 tại Đầm Trấu, 21,5 tỷ, 4PN, 4WC siêu hot, Q.Hai Bà Trưng, HN","21,5 tỷ",55 m²,"390,91 tr/m²",4 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
Bán nhà Lò Đúc 68m2 x 5 tầng x MT 5m - 12.8 tỷ - thang máy - nhà mới full nội thất sẵn ở,"12,8 tỷ",68 m²,"188,24 tr/m²",4 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
- Hẻm 8m thông giáp Tân Phú gần đường Thạch Lam dt 4mx17m 1 lầu giá 6 tỷ,6 tỷ,64 m²,"93,75 tr/m²",,,"Tân Phú, Hồ Chí Minh"
"Bán nhà 1 trệt 1 lầu P Quang Vinh, TP Biên Hoà","2,55 tỷ",44 m²,"57,96 tr/m²",2 Phòng ngủ,2 WC,"Biên Hòa, Đồng Nai"
